gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score
CACNA1B	ENSG00000148408	chr9	3.4549e-01	6.2629e+00
CACNA1C	775	NA	1.7771e-01	9.4912e+00
CACNA1C	ENSG00000151067	chr12	1.7771e-01	9.4912e+00
CACNA1D	776	NA	2.6775e-01	7.3396e+00
CACNA1D	ENSG00000157388	chr3	2.6775e-01	7.3396e+00
CACNA1E	777	NA	2.0088e-01	9.0197e+00
CACNA1E	ENSG00000198216	chr1	2.0088e-01	9.0197e+00
CACNA1F	778	NA	5.0967e-01	2.4850e+00
CACNA1F	ENSG00000102001	chrX	5.0967e-01	2.4850e+00
CACNA1G	8913	NA	3.7420e-01	6.3874e+00
CACNA1G	ENSG00000006283	chr17	3.7420e-01	6.3874e+00
CACNA1H	8912	NA	8.8693e-01	-6.0758e+00
CACNA1H	ENSG00000196557	chr16	8.8693e-01	-6.0758e+00
CACNA1I	8911	NA	4.4549e-01	6.0303e+00
CACNA1I	ENSG00000100346	chr22	4.4549e-01	6.0303e+00
CACNA1S	779	NA	7.0428e-01	6.3931e-01
CACNA1S	ENSG00000081248	chr1	7.0428e-01	6.3931e-01
CACNA2D1	781	NA	3.8856e-01	4.6937e+00
CACNA2D1	ENSG00000153956	chr7	3.8856e-01	4.6937e+00
CACNA2D2	9254	NA	3.6680e-01	3.5041e+00
CACNA2D2	ENSG00000007402	chr3	3.6680e-01	3.5041e+00
CACNA2D3	55799	NA	4.6322e-01	1.8470e+00
CACNA2D3	ENSG00000157445	chr3	4.6322e-01	1.8470e+00
CACNA2D4	93589	NA	1.0943e+00	7.7537e-01
CACNA2D4	ENSG00000151062	chr12	1.0943e+00	7.7537e-01
CACNB1	782	NA	5.5206e-01	2.6929e+00
CACNB1	ENSG00000067191	chr17	5.5206e-01	2.6929e+00
CACNB2	783	NA	7.4079e-01	-1.2698e+00
CACNB2	ENSG00000165995	chr10	7.4079e-01	-1.2698e+00
CACNB3	784	NA	7.4623e-01	2.6055e+00
CACNB3	ENSG00000167535	chr12	7.4623e-01	2.6055e+00
CACNB4	785	NA	6.0357e-01	3.0819e+00
CACNB4	ENSG00000182389	chr2	6.0357e-01	3.0819e+00
CACNG1	786	NA	1.3721e+00	4.2818e-01
CACNG1	ENSG00000108878	chr17	1.3721e+00	4.2818e-01
CACNG2	10369	NA	2.9986e-01	1.8766e+00
CACNG2	ENSG00000166862	chr22	2.9986e-01	1.8766e+00
CACNG3	10368	NA	2.7209e-01	3.7378e+00
CACNG3	ENSG00000006116	chr16	2.7209e-01	3.7378e+00
CACNG4	27092	NA	6.3115e-01	1.9675e+00
CACNG4	ENSG00000075461	chr17	6.3115e-01	1.9675e+00
CACNG5	27091	NA	1.0768e+00	4.2039e-01
CACNG5	ENSG00000075429	chr17	1.0768e+00	4.2039e-01
CACNG6	59285	NA	1.2640e+00	2.9336e-01
CACNG6	ENSG00000130433	chr19	1.2640e+00	2.9336e-01
CACNG7	59284	NA	5.9608e-01	1.8245e+00
CACNG7	ENSG00000105605	chr19	5.9608e-01	1.8245e+00
CACNG8	59283	NA	3.9011e-01	2.3564e+00
CACNG8	ENSG00000142408	chr19	3.9011e-01	2.3564e+00
CACTIN	58509	NA	3.4235e-01	2.8094e+00
CACTIN	ENSG00000105298	chr19	3.4235e-01	2.8094e+00
CACUL1	143384	NA	4.5757e-01	9.9090e-01
CACUL1	ENSG00000151893	chr10	4.5757e-01	9.9090e-01
CACYBP	27101	NA	6.1443e-01	2.5812e+00
CACYBP	ENSG00000116161	chr1	6.1443e-01	2.5812e+00
CAD	790	NA	4.1082e-01	6.0502e+00
CAD	ENSG00000084774	chr2	4.1082e-01	6.0502e+00
CADM1	23705	NA	4.3528e-01	3.0580e+00
CADM1	ENSG00000182985	chr11	4.3528e-01	3.0580e+00
CADM2	253559	NA	3.9071e-01	2.1968e+00
CADM2	ENSG00000175161	chr3	3.9071e-01	2.1968e+00
CADM3	57863	NA	4.0584e-01	1.6218e+00
CADM3	ENSG00000162706	chr1	4.0584e-01	1.6218e+00
CADM4	199731	NA	4.7084e-01	1.9887e+00
CADM4	ENSG00000105767	chr19	4.7084e-01	1.9887e+00
CADPS	8618	NA	4.2490e-01	3.3159e+00
CADPS	ENSG00000163618	chr3	4.2490e-01	3.3159e+00
CADPS2	93664	NA	6.4060e-01	1.5726e+00
CADPS2	ENSG00000081803	chr7	6.4060e-01	1.5726e+00
CAGE1	285782	NA	8.5355e-01	1.1817e+00
CAGE1	ENSG00000164304	chr6	8.5355e-01	1.1817e+00
CALB1	793	NA	5.2059e-01	1.8771e+00
CALB1	ENSG00000104327	chr8	5.2059e-01	1.8771e+00
CALB2	794	NA	9.8639e-01	-1.0938e-01
CALB2	ENSG00000172137	chr16	9.8639e-01	-1.0938e-01
CALCA	796	NA	1.3274e+00	1.3815e-01
CALCA	ENSG00000110680	chr11	1.3274e+00	1.3815e-01
CALCB	797	NA	1.3444e+00	-4.5316e-01
CALCB	ENSG00000175868	chr11	1.3444e+00	-4.5316e-01
CALCOCO1	57658	NA	6.5585e-01	2.0918e+00
CALCOCO1	ENSG00000012822	chr12	6.5585e-01	2.0918e+00
CALCOCO2	10241	NA	8.6964e-01	1.1079e+00
CALCOCO2	ENSG00000136436	chr17	8.6964e-01	1.1079e+00
CALCR	799	NA	1.0074e+00	5.4361e-01
CALCR	ENSG00000004948	chr7	1.0074e+00	5.4361e-01
CALCRL	10203	NA	6.1655e-01	2.1411e+00
CALCRL	ENSG00000064989	chr2	6.1655e-01	2.1411e+00
CALD1	800	NA	4.4166e-01	1.3904e+00
CALD1	ENSG00000122786	chr7	4.4166e-01	1.3904e+00
CALHM1	255022	NA	1.2314e+00	7.3526e-01
CALHM1	ENSG00000185933	chr10	1.2314e+00	7.3526e-01
CALHM2	51063	NA	1.3062e+00	5.0407e-01
CALHM2	ENSG00000138172	chr10	1.3062e+00	5.0407e-01
CALHM3	119395	NA	1.1539e+00	-6.6615e-01
CALHM3	ENSG00000183128	chr10	1.1539e+00	-6.6615e-01
CALHM4	221301	NA	2.1514e+00	5.2905e-01
CALHM4	ENSG00000164451	chr6	1.8234e+00	6.7969e-01
CALHM5	254228	NA	1.2226e+00	1.0212e-01
CALHM5	ENSG00000178033	chr6	1.2226e+00	1.0212e-01
CALHM6	441168	NA	1.8181e+00	-2.6938e-01
CALHM6	ENSG00000188820	chr6	1.8181e+00	-2.6938e-01
CALM1	801	NA	3.0145e-01	5.0496e+00
CALM1	ENSG00000198668	chr14	3.0145e-01	5.0496e+00
CALM2	805	NA	3.1789e-01	4.4882e+00
CALM2	ENSG00000143933	chr2	3.1789e-01	4.4882e+00
CALM3	808	NA	5.2255e-01	4.1709e+00
CALM3	ENSG00000160014	chr19	5.2255e-01	4.1709e+00
CALML3	810	NA	NA	4.6895e-01
CALML3	ENSG00000178363	chr10	NA	4.6895e-01
CALML4	91860	NA	1.3593e+00	-2.5055e-01
CALML4	ENSG00000129007	chr15	1.3593e+00	-2.5055e-01
CALML5	51806	NA	NA	-1.1853e-02
CALML5	ENSG00000178372	chr10	NA	-1.1853e-02
CALML6	163688	NA	1.4891e+00	-1.7638e-01
CALML6	ENSG00000169885	chr1	1.4891e+00	-1.7638e-01
CALN1	83698	NA	8.3275e-01	1.4456e+00
CALN1	ENSG00000183166	chr7	8.3275e-01	1.4456e+00
CALR	811	NA	4.5181e-01	9.9272e-01
CALR	ENSG00000179218	chr19	4.5181e-01	9.9272e-01
CALR3	125972	NA	1.0470e+00	5.0232e-01
CALR3	ENSG00000269058	chr19	1.0470e+00	5.0232e-01
CALU	813	NA	5.5112e-01	2.3643e+00
CALU	ENSG00000128595	chr7	5.5112e-01	2.3643e+00
CALY	50632	NA	1.1411e+00	8.4140e-01
CALY	ENSG00000130643	chr10	1.1411e+00	8.4140e-01
CAMK1	8536	NA	1.0379e+00	2.9910e-01
CAMK1	ENSG00000134072	chr3	1.0379e+00	2.9910e-01
CAMK1D	57118	NA	3.2942e-01	3.8146e+00
CAMK1D	ENSG00000183049	chr10	3.2942e-01	3.8146e+00
CAMK1G	57172	NA	6.7891e-01	1.3863e+00
CAMK1G	ENSG00000008118	chr1	6.7891e-01	1.3863e+00
CAMK2A	815	NA	1.6603e-01	7.2537e+00
CAMK2A	ENSG00000070808	chr5	1.6603e-01	7.2537e+00
CAMK2B	816	NA	3.9757e-01	4.6710e+00
CAMK2B	ENSG00000058404	chr7	3.9757e-01	4.6710e+00
CAMK2D	817	NA	5.7964e-01	3.4142e+00
CAMK2D	ENSG00000145349	chr4	5.7964e-01	3.4142e+00
CAMK2G	818	NA	3.6744e-01	4.6519e+00
CAMK2G	ENSG00000148660	chr10	3.6744e-01	4.6519e+00
CAMK2N1	55450	NA	9.7968e-01	1.2462e+00
CAMK2N1	ENSG00000162545	chr1	9.7968e-01	1.2462e+00
CAMK2N2	94032	NA	9.9465e-01	9.5949e-01
CAMK2N2	ENSG00000163888	chr3	9.9465e-01	9.5949e-01
CAMK4	814	NA	6.9894e-01	1.5633e+00
CAMK4	ENSG00000152495	chr5	6.9894e-01	1.5633e+00
CAMKK1	84254	NA	4.5786e-01	1.1650e+00
CAMKK1	ENSG00000004660	chr17	4.5786e-01	1.1650e+00
CAMKK2	10645	NA	6.0577e-01	2.3941e+00
CAMKK2	ENSG00000110931	chr12	6.0577e-01	2.3941e+00
CAMKMT	79823	NA	1.3882e+00	-5.3746e-01
CAMKMT	ENSG00000143919	chr2	1.3882e+00	-5.3746e-01
CAMKV	79012	NA	2.0952e-01	4.8408e+00
CAMKV	ENSG00000164076	chr3	2.0952e-01	4.8408e+00
CAMLG	819	NA	1.1279e+00	1.0949e-01
CAMLG	ENSG00000164615	chr5	1.1279e+00	1.0949e-01
CAMP	820	NA	1.3358e+00	2.3353e-01
CAMP	ENSG00000164047	chr3	1.3358e+00	2.3353e-01
CAMSAP1	157922	NA	5.0299e-01	1.3605e+00
CAMSAP1	ENSG00000130559	chr9	5.0299e-01	1.3605e+00
CAMSAP2	23271	NA	2.4837e-01	3.8511e+00
CAMSAP2	ENSG00000118200	chr1	2.4693e-01	3.8470e+00
CAMSAP3	57662	NA	4.0245e-01	1.7055e+00
CAMSAP3	ENSG00000076826	chr19	4.0245e-01	1.7055e+00
CAMTA1	23261	NA	2.1791e-01	5.4179e+00
CAMTA1	ENSG00000171735	chr1	2.1791e-01	5.4179e+00
CAMTA2	23125	NA	5.1540e-01	2.1139e+00
CAMTA2	ENSG00000108509	chr17	5.1540e-01	2.1139e+00
CAND1	55832	NA	1.2120e-01	5.6885e+00
CAND1	ENSG00000111530	chr12	1.2120e-01	5.6885e+00
CAND2	23066	NA	7.7424e-01	1.6169e+00
CAND2	ENSG00000144712	chr3	7.7424e-01	1.6169e+00
CANT1	124583	NA	1.2028e+00	8.0949e-01
CANT1	ENSG00000171302	chr17	1.2028e+00	8.0949e-01
CANX	821	NA	2.8929e-01	2.3352e+00
CANX	ENSG00000127022	chr5	2.8929e-01	2.3352e+00
CAP1	10487	NA	3.1289e-01	2.8947e+00
CAP1	ENSG00000131236	chr1	3.1289e-01	2.8947e+00
CAP2	10486	NA	5.8450e-01	1.5681e+00
CAP2	ENSG00000112186	chr6	5.8450e-01	1.5681e+00
CAPG	822	NA	9.6416e-01	5.3627e-01
CAPG	ENSG00000042493	chr2	9.6416e-01	5.3627e-01
CAPN1	823	NA	8.8436e-01	1.9603e+00
CAPN1	ENSG00000014216	chr11	8.8436e-01	1.9603e+00
CAPN10	11132	NA	1.1028e+00	1.0603e+00
CAPN10	ENSG00000142330	chr2	1.1028e+00	1.0603e+00
CAPN11	11131	NA	1.2029e+00	5.8624e-01
CAPN11	ENSG00000137225	chr6	1.2029e+00	5.8624e-01
CAPN12	147968	NA	1.3232e+00	-1.8662e+00
CAPN12	ENSG00000182472	chr19	1.3232e+00	-1.8662e+00
CAPN13	92291	NA	1.0903e+00	-6.7206e-01
CAPN13	ENSG00000162949	chr2	1.0903e+00	-6.7206e-01
CAPN14	440854	NA	1.1011e+00	-1.2768e-01
CAPN14	ENSG00000214711	chr2	1.1011e+00	-1.2768e-01
CAPN15	6650	NA	6.8063e-01	-2.3199e-02
CAPN15	ENSG00000103326	chr16	6.8063e-01	-2.3199e-02
CAPN2	824	NA	1.0691e+00	1.5472e+00
CAPN2	ENSG00000162909	chr1	1.0691e+00	1.5472e+00
CAPN3	825	NA	9.2180e-01	5.3454e-01
CAPN3	ENSG00000092529	chr15	9.2180e-01	5.3454e-01
CAPN5	726	NA	9.2732e-01	1.4057e+00
CAPN5	ENSG00000149260	chr11	9.2732e-01	1.4057e+00
CAPN6	827	NA	5.2835e-01	7.0641e-01
CAPN6	ENSG00000077274	chrX	5.2835e-01	7.0641e-01
CAPN7	23473	NA	7.6044e-01	9.1031e-01
CAPN7	ENSG00000131375	chr3	7.6044e-01	9.1031e-01
CAPN8	388743	NA	1.2847e+00	-8.8531e-01
CAPN8	ENSG00000203697	chr1	1.2847e+00	-8.8531e-01
CAPN9	10753	NA	1.0498e+00	2.6368e-01
CAPN9	ENSG00000135773	chr1	1.0498e+00	2.6368e-01
CAPNS1	826	NA	1.0951e+00	4.4329e-01
CAPNS1	ENSG00000126247	chr19	1.0951e+00	4.4329e-01
CAPNS2	84290	NA	1.1806e+00	5.5386e-01
CAPNS2	ENSG00000256812	chr16	1.1806e+00	5.5386e-01
CAPRIN1	4076	NA	3.9185e-01	1.1769e+00
CAPRIN1	ENSG00000135387	chr11	3.9185e-01	1.1769e+00
CAPRIN2	ENSG00000110888	chr12	6.2122e-01	7.4350e-01
CAPS	828	NA	1.5654e+00	-3.9885e-01
CAPS	ENSG00000105519	chr19	1.5654e+00	-3.9885e-01
CAPS2	ENSG00000180881	chr12	1.3396e+00	-6.8612e-01
CAPSL	133690	NA	1.1959e+00	-7.8685e-01
CAPSL	ENSG00000152611	chr5	1.1959e+00	-7.8685e-01
CAPZA1	829	NA	4.1568e-01	1.7407e+00
CAPZA1	ENSG00000116489	chr1	4.1568e-01	1.7407e+00
CAPZA2	830	NA	4.6961e-01	2.1919e+00
CAPZA2	ENSG00000198898	chr7	4.6961e-01	2.1919e+00
CAPZA3	93661	NA	1.3303e+00	-2.5339e-01
CAPZA3	ENSG00000177938	chr12	1.3303e+00	-2.5339e-01
CAPZB	832	NA	1.6515e-01	4.0403e+00
CAPZB	ENSG00000077549	chr1	1.6515e-01	4.0403e+00
CARD10	29775	NA	5.4251e-01	2.1812e+00
CARD10	ENSG00000100065	chr22	5.4251e-01	2.1812e+00
CARD11	84433	NA	3.6598e-01	4.0861e+00
CARD11	ENSG00000198286	chr7	3.6598e-01	4.0861e+00
CARD14	79092	NA	1.1272e+00	4.6579e-01
CARD14	ENSG00000141527	chr17	1.1272e+00	4.6579e-01
CARD16	114769	NA	1.3946e+00	-9.9851e-01
CARD16	ENSG00000204397	chr11	1.2104e+00	-5.0648e-01
CARD18	59082	NA	1.6555e+00	-1.1829e+00
CARD18	ENSG00000255501	chr11	1.6555e+00	-1.1829e+00
CARD19	84270	NA	1.4507e+00	1.7283e-01
CARD19	ENSG00000165233	chr9	1.4507e+00	1.7283e-01
CARD6	84674	NA	1.5759e+00	-4.9930e-02
CARD6	ENSG00000132357	chr5	1.5759e+00	-4.9930e-02
CARD8	22900	NA	9.3668e-01	1.5734e+00
CARD8	ENSG00000105483	chr19	9.3668e-01	1.5734e+00
CARD9	64170	NA	1.0095e+00	-4.0399e-01
CARD9	ENSG00000187796	chr9	1.0095e+00	-4.0399e-01
CARF	79800	NA	8.6662e-01	1.2369e+00
CARF	ENSG00000138380	chr2	8.6662e-01	1.2369e+00
CARHSP1	23589	NA	1.7523e+00	-4.2460e+00
CARHSP1	ENSG00000153048	chr16	1.7523e+00	-4.2460e+00
CARM1	10498	NA	3.0121e-01	5.9334e+00
CARM1	ENSG00000142453	chr19	3.0121e-01	5.9334e+00
CARMIL1	55604	NA	6.0568e-01	2.9976e+00
CARMIL1	ENSG00000079691	chr6	6.0568e-01	2.9976e+00
CARMIL2	146206	NA	6.5651e-01	1.3253e+00
CARMIL2	ENSG00000159753	chr16	6.5651e-01	1.3253e+00
CARMIL3	90668	NA	5.8095e-01	2.4116e+00
CARMIL3	ENSG00000186648	chr14	5.8095e-01	2.4116e+00
CARNMT1	138199	NA	7.7401e-01	1.7260e+00
CARNMT1	ENSG00000156017	chr9	7.7401e-01	1.7260e+00
CARNS1	57571	NA	1.0129e+00	4.2595e-01
CARNS1	ENSG00000172508	chr11	1.0200e+00	3.5852e-01
CARS1	833	NA	5.7476e-01	1.1694e+00
CARS1	ENSG00000110619	chr11	5.7476e-01	1.1694e+00
CARS2	79587	NA	9.5241e-01	-4.0067e-01
CARS2	ENSG00000134905	chr13	9.5241e-01	-4.0067e-01
CARTPT	9607	NA	9.7233e-01	2.5124e-01
CARTPT	ENSG00000164326	chr5	9.7233e-01	2.5124e-01
CASC3	22794	NA	5.0555e-01	1.3794e+00
CASC3	ENSG00000108349	chr17	5.0555e-01	1.3794e+00
CASD1	64921	NA	5.3218e-01	2.4190e+00
CASD1	ENSG00000127995	chr7	5.3218e-01	2.4190e+00
CASK	8573	NA	1.1040e-01	5.7649e+00
CASK	ENSG00000147044	chrX	1.1040e-01	5.7649e+00
CASKIN1	57524	NA	4.6225e-01	-5.3061e-02
CASKIN1	ENSG00000167971	chr16	4.6225e-01	-5.3061e-02
CASKIN2	57513	NA	4.9689e-01	1.1671e+00
CASKIN2	ENSG00000177303	chr17	4.9689e-01	1.1671e+00
CASP1	834	NA	1.0162e+00	1.0846e-01
CASP1	ENSG00000137752	chr11	1.0162e+00	1.0846e-01
CASP10	843	NA	1.0968e+00	9.1757e-03
CASP10	ENSG00000003400	chr2	1.0968e+00	9.1757e-03
CASP12	ENSG00000204403	chr11	NA	-4.9206e-01
CASP14	23581	NA	1.3107e+00	-2.4553e-01
CASP14	ENSG00000105141	chr19	1.3107e+00	-2.4553e-01
CASP2	835	NA	9.1618e-01	1.1969e+00
CASP2	ENSG00000106144	chr7	9.1618e-01	1.1969e+00
CASP3	836	NA	8.0882e-01	1.6583e+00
CASP3	ENSG00000164305	chr4	8.0882e-01	1.6583e+00
CASP4	837	NA	9.5807e-01	2.7064e-01
CASP4	ENSG00000196954	chr11	9.5807e-01	2.7064e-01
CASP5	838	NA	1.2012e+00	3.7439e-01
CASP5	ENSG00000137757	chr11	1.2012e+00	3.7439e-01
CASP6	839	NA	9.1372e-01	7.4186e-01
CASP6	ENSG00000138794	chr4	9.1372e-01	7.4186e-01
CASP7	840	NA	9.3591e-01	8.3818e-01
CASP7	ENSG00000165806	chr10	9.3591e-01	8.3818e-01
CASP8	841	NA	7.2885e-01	1.7860e+00
CASP8	ENSG00000064012	chr2	7.2885e-01	1.7860e+00
CASP8AP2	9994	NA	2.1224e-01	5.1881e+00
CASP8AP2	ENSG00000118412	chr6	2.0742e-01	5.1935e+00
CASP9	842	NA	9.0974e-01	-6.9211e-01
CASP9	ENSG00000132906	chr1	9.0974e-01	-6.9211e-01
CASQ1	844	NA	1.0516e+00	3.4617e-01
CASQ1	ENSG00000143318	chr1	1.0516e+00	3.4617e-01
CASQ2	845	NA	1.3360e+00	-9.0864e-02
CASQ2	ENSG00000118729	chr1	1.3360e+00	-9.0864e-02
CASR	846	NA	4.7144e-01	5.0041e+00
CASR	ENSG00000036828	chr3	4.7144e-01	5.0041e+00
CASS4	57091	NA	5.7932e-01	1.8021e+00
CASS4	ENSG00000087589	chr20	5.7932e-01	1.8021e+00
CAST	831	NA	7.6886e-01	-8.9457e-02
CAST	ENSG00000153113	chr5	7.6886e-01	-8.9457e-02
CASTOR1	652968	NA	7.9132e-01	1.7014e+00
CASTOR1	ENSG00000239282	chr22	7.9132e-01	1.7014e+00
CASTOR2	729438	NA	4.6327e-01	3.6238e+00
CASTOR2	ENSG00000274070	chr7	4.6327e-01	3.6238e+00
CASZ1	54897	NA	2.8398e-01	2.5172e+00
CASZ1	ENSG00000130940	chr1	2.8398e-01	2.5172e+00
CAT	847	NA	9.3988e-01	3.0775e-01
CAT	ENSG00000121691	chr11	9.3988e-01	3.0775e-01
CATIP	375307	NA	1.2246e+00	1.3413e-01
CATIP	ENSG00000158428	chr2	1.2246e+00	1.3413e-01
CATSPER1	117144	NA	9.7699e-01	1.6433e+00
CATSPER1	ENSG00000175294	chr11	9.7699e-01	1.6433e+00
CATSPER2	117155	NA	1.0172e+00	1.0092e+00
CATSPER2	ENSG00000166762	chr15	1.0172e+00	1.0092e+00
CATSPER3	347732	NA	8.9138e-01	5.6751e-01
CATSPER3	ENSG00000152705	chr5	8.9138e-01	5.6751e-01
CATSPER4	378807	NA	1.0803e+00	6.6836e-01
CATSPER4	ENSG00000188782	chr1	1.0803e+00	6.6836e-01
CATSPERB	79820	NA	8.6136e-01	2.0646e+00
CATSPERB	ENSG00000133962	chr14	8.6136e-01	2.0646e+00
CATSPERD	257062	NA	1.0493e+00	1.4369e-01
CATSPERD	ENSG00000174898	chr19	1.0493e+00	1.4369e-01
CATSPERE	257044	NA	9.6804e-01	9.3295e-01
CATSPERE	ENSG00000179397	chr1	9.6804e-01	9.3295e-01
CATSPERG	57828	NA	9.2602e-01	2.1440e+00
CATSPERG	ENSG00000099338	chr19	9.2602e-01	2.1440e+00
CATSPERZ	25858	NA	1.3928e+00	6.7591e-01
CATSPERZ	ENSG00000219435	chr11	1.3928e+00	6.7591e-01
CAV1	857	NA	1.0303e+00	5.8196e-01
CAV1	ENSG00000105974	chr7	1.0303e+00	5.8196e-01
CAV2	858	NA	8.4816e-01	-5.9657e-01
CAV2	ENSG00000105971	chr7	8.4816e-01	-5.9657e-01
CAV3	859	NA	1.2702e+00	9.8105e-01
CAV3	ENSG00000182533	chr3	1.2702e+00	9.8105e-01
CAVIN1	284119	NA	1.0133e+00	7.5642e-01
CAVIN1	ENSG00000177469	chr17	1.0133e+00	7.5642e-01
CAVIN2	8436	NA	1.7700e+00	-1.1149e-01
CAVIN2	ENSG00000168497	chr2	1.7700e+00	-1.1149e-01
CAVIN3	112464	NA	2.2268e+00	-9.3385e-01
CAVIN3	ENSG00000170955	chr11	2.2268e+00	-9.3385e-01
CAVIN4	347273	NA	9.1386e-01	-3.7646e-01
CAVIN4	ENSG00000170681	chr9	9.1386e-01	-3.7646e-01
CBARP	ENSG00000099625	chr19	9.2936e-01	-2.2558e+00
CBFA2T2	9139	NA	2.9295e-01	2.7916e+00
CBFA2T2	ENSG00000078699	chr20	2.9295e-01	2.7916e+00
CBFA2T3	863	NA	7.1367e-01	-1.5519e+00
CBFA2T3	ENSG00000129993	chr16	7.1367e-01	-1.5519e+00
CBFB	865	NA	5.1580e-01	2.0206e+00
CBFB	ENSG00000067955	chr16	5.1580e-01	2.0206e+00
CBL	867	NA	5.9542e-01	1.5073e+00
CBL	ENSG00000110395	chr11	5.9542e-01	1.5073e+00
CBLB	868	NA	3.9869e-01	1.8671e+00
CBLB	ENSG00000114423	chr3	3.9869e-01	1.8671e+00
CBLC	23624	NA	1.0044e+00	-4.9761e-01
CBLC	ENSG00000142273	chr19	1.0044e+00	-4.9761e-01
CBLIF	2694	NA	7.5165e-01	6.0251e-01
CBLIF	ENSG00000134812	chr11	7.5165e-01	6.0251e-01
CBLL1	79872	NA	2.0370e-01	1.1448e+00
CBLL1	ENSG00000105879	chr7	2.0370e-01	1.1448e+00
CBLL2	158506	NA	NA	-8.7329e-02
CBLL2	ENSG00000175809	chrX	NA	-8.7329e-02
CBLN1	869	NA	6.6231e-01	2.4019e+00
CBLN1	ENSG00000102924	chr16	6.6231e-01	2.4019e+00
CBLN2	147381	NA	8.7706e-01	1.5278e+00
CBLN2	ENSG00000141668	chr18	8.7706e-01	1.5278e+00
CBLN3	643866	NA	1.2609e+00	1.4210e-01
CBLN3	ENSG00000139899	chr14	1.2609e+00	1.4210e-01
CBLN4	140689	NA	8.7976e-01	1.8321e+00
CBLN4	ENSG00000054803	chr20	8.7976e-01	1.8321e+00
CBR1	873	NA	1.7118e+00	1.6963e-01
CBR1	ENSG00000159228	chr21	1.7118e+00	1.6963e-01
CBR3	874	NA	1.8815e+00	1.1127e+00
CBR3	ENSG00000159231	chr21	1.8815e+00	1.1127e+00
CBR4	84869	NA	1.4965e+00	-3.9616e-01
CBR4	ENSG00000145439	chr4	1.4965e+00	-3.9616e-01
CBS	875	NA	NA	3.7324e+00
CBS	ENSG00000160200	chr21	NA	3.7324e+00
CBSL	ENSG00000274276	chr21	9.7644e-01	2.8377e+00
CBWD1	ENSG00000172785	chr9	3.7897e-01	4.9410e+00
CBWD2	150472	NA	3.6598e-01	5.4725e+00
CBWD2	ENSG00000136682	chr2	3.6598e-01	5.4725e+00
CBWD3	445571	NA	5.0289e-01	5.0043e+00
CBWD3	ENSG00000196873	chr9	5.0289e-01	5.0043e+00
CBWD5	220869	NA	1.6112e-01	7.1648e+00
CBWD5	ENSG00000147996	chr9	1.6112e-01	7.1648e+00
CBWD6	644019	NA	4.7740e-01	3.4200e+00
CBWD6	ENSG00000215126	chr9	4.7740e-01	3.4200e+00
CBX1	10951	NA	6.7602e-01	3.2456e+00
CBX1	ENSG00000108468	chr17	6.7602e-01	3.2456e+00
CBX2	84733	NA	8.6742e-01	-3.4317e-01
CBX2	ENSG00000173894	chr17	8.6742e-01	-3.4317e-01
CBX3	11335	NA	4.6500e-01	3.6988e+00
CBX3	ENSG00000122565	chr7	4.6500e-01	3.6988e+00
CBX4	8535	NA	4.2053e-01	1.2287e+00
CBX4	ENSG00000141582	chr17	4.2053e-01	1.2287e+00
CBX5	23468	NA	6.3393e-01	3.2513e+00
CBX5	ENSG00000094916	chr12	6.3393e-01	3.2513e+00
CBX6	23466	NA	4.6322e-01	1.6306e+00
CBX6	ENSG00000183741	chr22	4.6322e-01	1.6306e+00
CBX7	23492	NA	6.9595e-01	1.8855e+00
CBX7	ENSG00000100307	chr22	6.9595e-01	1.8855e+00
CBX8	57332	NA	3.6340e-01	4.5678e-01
CBX8	ENSG00000141570	chr17	3.6340e-01	4.5678e-01
CBY1	25776	NA	1.0884e+00	3.5208e-01
CBY1	ENSG00000100211	chr22	1.0884e+00	3.5208e-01
CBY2	220082	NA	1.2862e+00	-8.9966e-01
CBY2	ENSG00000174015	chr13	1.2862e+00	-8.9966e-01
CBY3	646019	NA	4.3523e+00	-1.4782e+00
CBY3	ENSG00000204659	chr5	4.3523e+00	-1.4782e+00
CC2D1A	54862	NA	6.7233e-01	1.2503e+00
CC2D1A	ENSG00000132024	chr19	6.7233e-01	1.2503e+00
CC2D1B	200014	NA	9.8766e-01	-6.0780e-01
CC2D1B	ENSG00000154222	chr1	9.8766e-01	-6.0780e-01
CC2D2A	57545	NA	8.3192e-01	9.6661e-01
CC2D2A	ENSG00000048342	chr4	8.3192e-01	9.6661e-01
CC2D2B	387707	NA	9.1933e-01	2.3240e+00
CC2D2B	ENSG00000188649	chr10	9.1933e-01	2.3240e+00
CCAR1	55749	NA	5.7496e-01	3.9963e+00
CCAR1	ENSG00000060339	chr10	5.7496e-01	3.9963e+00
CCAR2	57805	NA	2.9414e-01	5.7953e-01
CCAR2	ENSG00000158941	chr8	2.7976e-01	6.3399e-01
CCBE1	147372	NA	9.7396e-01	-2.6442e-01
CCBE1	ENSG00000183287	chr18	9.7396e-01	-2.6442e-01
CCDC102A	92922	NA	9.3786e-01	-1.5944e-01
CCDC102A	ENSG00000135736	chr16	9.3786e-01	-1.5944e-01
CCDC102B	79839	NA	1.5833e+00	-9.4398e-01
CCDC102B	ENSG00000150636	chr18	1.5833e+00	-9.4398e-01
CCDC103	388389	NA	1.3278e+00	6.5740e-01
CCDC103	ENSG00000167131	chr17	1.3278e+00	6.5740e-01
CCDC105	126402	NA	1.2184e+00	-1.0835e+00
